shopid,shop_name,shop_location,shop_rating,shopee_verified,Shopdacbiet,Shopxuhuong
378384270,Choco.clothing,TP. Hồ Chí Minh,4.924775,True,0.0,1.0
66584257,Jem closet@,TP. Hồ Chí Minh,4.850521,True,0.0,0.0
83254757,NaLo Closet,Hà Nội,4.837432,False,1.0,0.0
404580013,QADCOL-Fashion Women,Nước ngoài,4.809627,False,0.0,0.0
17202795,MD SHOP-Chuyên thời trang nữ,TP. Hồ Chí Minh,4.814586,True,0.0,0.0
523075651,Tổng Kho Sỉ _ Lẻ Miền Bắc,Hà Nội,4.818455,True,1.0,0.0
76329108,KHANHSTORE24,TP. Hồ Chí Minh,4.840655,True,0.0,0.0
58403918,Tiểuu Vũ ShOP,Hà Nội,4.713495,True,1.0,0.0
13276586,Thu Huệ store,Hà Nội,4.912758,True,0.0,0.0
288193149,Xưởng May Minh Phượng 88,Hà Nội,4.8001,True,0.0,0.0
344736298,Lalisas Fashion,Nước ngoài,4.880036,True,0.0,0.0
85066884,ENTYTY,TP. Hồ Chí Minh,4.915001,True,0.0,0.0
687023655,Xưởng May Minh Anh 1989,Hà Nội,4.799679,True,1.0,0.0
59944065,Cô Nhỏ Bigsize,Đắk Lắk,4.871628,True,0.0,1.0
745093935,23thang9 Boutique.,TP. Hồ Chí Minh,4.839436,True,1.0,0.0
132368975,Thời Trang Uniex,Hà Nội,4.777124,True,0.0,0.0
181877747,Tingoan Store,Hà Nội,4.94855,False,0.0,0.0
443454390,SUN''S SHOP,TP. Hồ Chí Minh,4.856782,True,0.0,0.0
27618473,TỔNG KHO BUÔN NHI BÙI,Hà Nội,4.818422,False,0.0,1.0
253206314,AMYBRA,TP. Hồ Chí Minh,4.88544,True,0.0,0.0
18358096,giare01,Nam Định,4.568989,False,0.0,0.0
721266226,Orange Closet,Hà Nội,4.809557,True,1.0,0.0
7332956,❣️HƯỜNG LANA ❣️,Hà Nội,4.749345,True,1.0,1.0
253799485,DOLOXI,Hà Nội,4.888248,True,0.0,0.0
102763167,Kabico Official,Hà Nội,4.877943,True,0.0,0.0
27944169,Thiên Diệp Shop - TD Fashion,TP. Hồ Chí Minh,4.902306,True,1.0,0.0
28228365,SaLeMyPham89,Thái Nguyên,4.850962,False,0.0,0.0
439504589,Lucky Store.,Hà Nội,4.891564,True,0.0,0.0
30142553,NASU MAY -XƯỞNG MAY THỜI TRANG,Hà Nội,4.559437,True,1.0,0.0
75954650,Hương Havana ,Hà Nội,4.924327,True,0.0,0.0
281309308,DOMINION - THỜI TRANG UNISEX,TP. Hồ Chí Minh,4.744108,True,0.0,0.0
457342957,Ellyclothing,TP. Hồ Chí Minh,4.874731,True,0.0,1.0
332345704,Cocory - Fashion Women,Nước ngoài,4.828616,True,0.0,0.0
385610644,Thời Trang L'Bee,TP. Hồ Chí Minh,4.806584,True,0.0,0.0
151223348,PANOSI FASHION,Hà Nội,4.876704,True,1.0,0.0
338341511,Áo Thun HM1986 Streetwear,TP. Hồ Chí Minh,4.885814,True,0.0,0.0
35369564,Whattowear,TP. Hồ Chí Minh,4.924428,True,0.0,1.0
98286976,Tharo Clothing,TP. Hồ Chí Minh,4.914754,True,0.0,0.0
9905391,Xưởng May Miu,Hà Nội,4.850612,True,1.0,1.0
813501269,SURYSHOP1998,TP. Hồ Chí Minh,4.770822,True,1.0,0.0
184210921,SUTANO FASHION,Hà Nội,4.858279,True,0.0,0.0
31233825,Xưởng May Ngọc Linh,Hà Nội,4.922155,True,1.0,0.0
26546582,Xưởng May Thành Huy- Chân váy,Hà Nội,4.884898,True,0.0,1.0
44697544,YUKI STORE,Hà Nội,4.816374,True,0.0,0.0
267034657,Xưởng may Nam Anh,Hà Nội,4.855676,True,1.0,0.0
379861259,ZANA BRA,TP. Hồ Chí Minh,4.856659,True,1.0,0.0
86217009,thuphamthupham83,Hà Nội,4.857057,True,1.0,0.0
17330949,Nội Y Giá Tốt,Hà Nội,4.81679,True,1.0,0.0
20097614,nhinhi shop,Hà Nội,4.869576,True,0.0,1.0
19392360,Pighousent,Khánh Hòa,4.930946,False,0.0,1.0
161050540,Tiny Clothes,Hà Nội,4.853301,True,0.0,1.0
29738607,ICO SHOP,TP. Hồ Chí Minh,4.911395,True,0.0,0.0
744827142,ZheLiHangFei.vn——Fashion woman,Nước ngoài,4.734544,False,0.0,0.0
105072171,Xưởng May Hoài An,Hà Nội,4.794813,True,0.0,0.0
6977548,Quần Baggy Legging Hải Ngân,Hà Nội,4.854108,True,0.0,0.0
397962948,Ladya Store,Hà Nội,4.844659,True,1.0,0.0
